StudentID,LabID,GroupID,DayID,PretestScore,PosttestScore,Gain
1,1,Control,M,60,80,20
2,1,Control,M,60,80,20
3,1,Control,M,80,80,0
4,1,Control,M,80,80,0
5,1,Control,M,80,80,0
6,1,Control,M,80,80,0
7,1,Control,M,80,80,0
8,1,Control,M,40,60,20
9,1,Control,M,40,60,20
10,1,Control,M,80,80,0
11,1,Experimental,W,60,60,0
12,1,Experimental,W,80,80,0
13,1,Experimental,W,60,80,20
14,1,Experimental,W,60,80,20
15,1,Experimental,W,60,40,-20
16,1,Experimental,W,60,80,20
17,1,Experimental,W,80,80,0
18,1,Experimental,W,80,60,-20
19,1,Experimental,W,80,80,0
20,1,Experimental,W,20,80,60
21,1,Experimental,W,80,80,0
22,1,Experimental,W,60,40,-20
23,1,Experimental,W,80,80,0
24,1,Experimental,W,60,60,0
25,1,Experimental,W,80,80,0
26,1,Experimental,W,40,40,0
27,1,Experimental,W,20,80,60
28,1,Experimental,W,40,60,20
1,2,Control,M,40,40,0
2,2,Control,M,40,40,0
3,2,Control,M,60,60,0
4,2,Control,M,60,60,0
5,2,Control,M,40,60,20
6,2,Control,M,40,60,20
7,2,Control,M,40,40,0
8,2,Control,M,60,80,20
9,2,Control,M,20,60,40
10,2,Control,M,40,60,20
11,2,Experimental,W,60,60,0
12,2,Experimental,W,60,60,0
13,2,Experimental,W,80,60,-20
14,2,Experimental,W,60,60,0
15,2,Experimental,W,0,40,40
16,2,Experimental,W,60,60,0
17,2,Experimental,W,80,40,-40
18,2,Experimental,W,40,60,20
19,2,Experimental,W,60,60,0
20,2,Experimental,W,20,60,40
21,2,Experimental,W,40,60,20
22,2,Experimental,W,40,40,0
23,2,Experimental,W,40,60,20
24,2,Experimental,W,60,60,0
25,2,Experimental,W,60,60,0
26,2,Experimental,W,40,40,0
27,2,Experimental,W,80,60,-20
28,2,Experimental,W,0,40,40
1,3,Control,M,60,80,20
2,3,Control,M,60,80,20
3,3,Control,M,80,80,0
4,3,Control,M,80,80,0
5,3,Control,M,80,100,20
6,3,Control,M,80,80,0
7,3,Control,M,80,80,0
8,3,Control,M,60,100,40
9,3,Control,M,100,100,0
10,3,Control,M,80,100,20
11,3,Experimental,W,80,80,0
12,3,Experimental,W,60,60,0
13,3,Experimental,W,80,80,0
14,3,Experimental,W,0,0,0
15,3,Experimental,W,80,80,0
16,3,Experimental,W,60,60,0
17,3,Experimental,W,60,80,20
18,3,Experimental,W,60,80,20
19,3,Experimental,W,40,40,0
20,3,Experimental,W,80,80,0
21,3,Experimental,W,80,80,0
22,3,Experimental,W,60,60,0
23,3,Experimental,W,80,60,-20
24,3,Experimental,W,40,40,0
25,3,Experimental,W,80,80,0
26,3,Experimental,W,60,60,0
27,3,Experimental,W,80,80,0
28,3,Experimental,W,60,60,0
1,4,Control,M,60,80,20
2,4,Control,M,60,80,20
3,4,Control,M,60,80,20
4,4,Control,M,60,100,40
5,4,Control,M,60,60,0
6,4,Control,M,60,60,0
7,4,Control,M,0,0,0
8,4,Control,M,40,40,0
9,4,Control,M,60,80,20
10,4,Control,M,80,80,0
11,4,Experimental,W,60,40,-20
12,4,Experimental,W,100,100,0
13,4,Experimental,W,100,100,0
14,4,Experimental,W,100,100,0
15,4,Experimental,W,80,100,20
16,4,Experimental,W,60,60,0
17,4,Experimental,W,80,100,20
18,4,Experimental,W,100,100,0
19,4,Experimental,W,80,100,20
20,4,Experimental,W,0,0,0
21,4,Experimental,W,80,100,20
22,4,Experimental,W,20,20,0
23,4,Experimental,W,80,100,20
24,4,Experimental,W,80,80,0
25,4,Experimental,W,100,100,0
26,4,Experimental,W,60,100,40
27,4,Experimental,W,80,100,20
28,4,Experimental,W,80,100,20
1,5,Control,M,80,80,0
2,5,Control,M,60,80,20
3,5,Control,M,100,100,0
4,5,Control,M,100,100,0
5,5,Control,M,80,100,20
6,5,Control,M,100,100,0
7,5,Control,M,20,40,20
8,5,Control,M,100,100,0
9,5,Control,M,100,100,0
10,5,Control,M,100,100,0
11,5,Experimental,W,60,80,20
12,5,Experimental,W,100,80,-20
13,5,Experimental,W,100,100,0
14,5,Experimental,W,100,100,0
15,5,Experimental,W,60,60,0
16,5,Experimental,W,100,100,0
17,5,Experimental,W,100,80,-20
18,5,Experimental,W,100,100,0
19,5,Experimental,W,100,100,0
20,5,Experimental,W,60,60,0
21,5,Experimental,W,60,80,20
22,5,Experimental,W,80,60,-20
23,5,Experimental,W,100,80,-20
24,5,Experimental,W,80,100,20
25,5,Experimental,W,100,100,0
26,5,Experimental,W,60,80,20
27,5,Experimental,W,100,100,0
28,5,Experimental,W,80,60,-20
1,6,Control,M,80,80,0
2,6,Control,M,60,80,20
3,6,Control,M,80,100,20
4,6,Control,M,100,100,0
5,6,Control,M,80,100,20
6,6,Control,M,100,100,0
7,6,Control,M,20,40,20
8,6,Control,M,100,100,0
9,6,Control,M,40,100,60
10,6,Control,M,100,100,0
11,6,Experimental,W,80,80,0
12,6,Experimental,W,100,80,-20
13,6,Experimental,W,100,100,0
14,6,Experimental,W,100,100,0
15,6,Experimental,W,60,80,20
16,6,Experimental,W,40,40,0
17,6,Experimental,W,100,60,-40
18,6,Experimental,W,100,100,0
19,6,Experimental,W,80,80,0
20,6,Experimental,W,20,100,80
21,6,Experimental,W,80,100,20
22,6,Experimental,W,60,60,0
23,6,Experimental,W,60,40,-20
24,6,Experimental,W,80,80,0
25,6,Experimental,W,100,100,0
